ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,1,"37,301","46,489","641,508","46,489","7,829",0,32,42,176,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,"2,838,233","956,470","62,651,460","537,001","572,069","422,971","75,505","62,856","39,297",0,"18,663"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,2,"47,573","50,674","828,972","50,674","10,389",0,80,45,240,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,"2,838,233","956,470","62,651,460","537,001","572,069","422,971","75,505","62,856","39,297",0,"18,663"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,3,"20,404","57,726","325,536","57,726","2,427",0,397,224,314,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,"2,838,233","956,470","62,651,460","537,001","572,069","422,971","75,505","62,856","39,297",0,"18,663"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,4,"27,869","50,864","367,980","50,864",0,0,538,691,169,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,"2,838,233","956,470","62,651,460","537,001","572,069","422,971","75,505","62,856","39,297",0,"18,663"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,5,"214,814","76,749","4,311,624","76,749","40,893","17,434","4,445","8,016",963,0,493,Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,"2,838,233","956,470","62,651,460","537,001","572,069","422,971","75,505","62,856","39,297",0,"18,663"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,6,"553,892","111,695","12,443,976","111,695","118,964","89,803","13,946","11,690","4,673",0,"2,477",Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,"2,838,233","956,470","62,651,460","537,001","572,069","422,971","75,505","62,856","39,297",0,"18,663"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,7,"768,040","154,472","17,742,696","154,472","146,282","147,019","22,736","15,517","14,107",0,"9,598",Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,"2,838,233","956,470","62,651,460","537,001","572,069","422,971","75,505","62,856","39,297",0,"18,663"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,8,"634,104","141,925","14,960,232","141,925","138,032","118,405","21,411","11,846","12,139",0,"4,458",Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,"2,838,233","956,470","62,651,460","537,001","572,069","422,971","75,505","62,856","39,297",0,"18,663"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,9,"353,728","98,455","8,038,056","98,455","86,007","45,097","9,459","11,194","4,793",0,"1,505",Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,"2,838,233","956,470","62,651,460","537,001","572,069","422,971","75,505","62,856","39,297",0,"18,663"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,10,"139,784","72,545","2,360,496","72,545","15,743","5,213","2,294","3,437","1,643",0,132,Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,"2,838,233","956,470","62,651,460","537,001","572,069","422,971","75,505","62,856","39,297",0,"18,663"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,11,"13,422","47,135","165,912","47,135",0,0,106,96,0,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,"2,838,233","956,470","62,651,460","537,001","572,069","422,971","75,505","62,856","39,297",0,"18,663"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,12,"27,302","47,741","464,472","47,741","5,503",0,61,58,80,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2000,"2,838,233","956,470","62,651,460","537,001","572,069","422,971","75,505","62,856","39,297",0,"18,663"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,1,"44,356","48,490","763,800","48,490","9,255",0,64,26,302,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,"2,758,526","924,884","62,969,088","524,563","584,929","461,787","76,297","63,635","43,111",0,"14,690"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,2,"48,980","51,538","840,576","51,538","10,134",0,51,54,295,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,"2,758,526","924,884","62,969,088","524,563","584,929","461,787","76,297","63,635","43,111",0,"14,690"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,3,"18,485","61,047","267,804","61,047","1,182",0,227,112,395,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,"2,758,526","924,884","62,969,088","524,563","584,929","461,787","76,297","63,635","43,111",0,"14,690"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,4,"28,341","51,624","344,364","51,624",0,0,0,0,178,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,"2,758,526","924,884","62,969,088","524,563","584,929","461,787","76,297","63,635","43,111",0,"14,690"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,5,"229,085","76,527","4,482,876","76,527","40,893","17,434","4,445","8,016",963,0,493,Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,"2,758,526","924,884","62,969,088","524,563","584,929","461,787","76,297","63,635","43,111",0,"14,690"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,6,"507,737","106,733","12,031,284","106,733","129,701","84,986","13,478","11,904","5,431",0,"1,935",Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,"2,758,526","924,884","62,969,088","524,563","584,929","461,787","76,297","63,635","43,111",0,"14,690"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,7,"724,735","147,375","17,384,076","147,375","143,675","160,454","23,267","14,947","13,800",0,"5,826",Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,"2,758,526","924,884","62,969,088","524,563","584,929","461,787","76,297","63,635","43,111",0,"14,690"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,8,"613,965","135,569","15,243,324","135,569","140,909","134,338","21,853","12,733","13,695",0,"4,628",Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,"2,758,526","924,884","62,969,088","524,563","584,929","461,787","76,297","63,635","43,111",0,"14,690"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,9,"373,583","97,535","8,739,276","97,535","86,366","59,772","10,570","12,733","6,216",0,"1,688",Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,"2,758,526","924,884","62,969,088","524,563","584,929","461,787","76,297","63,635","43,111",0,"14,690"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,10,"121,958","61,179","2,147,952","61,179","17,085","4,803","2,192","2,912","1,407",0,120,Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,"2,758,526","924,884","62,969,088","524,563","584,929","461,787","76,297","63,635","43,111",0,"14,690"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,11,"19,585","40,883","252,444","40,883",105,0,96,160,365,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,"2,758,526","924,884","62,969,088","524,563","584,929","461,787","76,297","63,635","43,111",0,"14,690"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,12,"27,716","46,384","471,312","46,384","5,624",0,54,38,64,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2001,"2,758,526","924,884","62,969,088","524,563","584,929","461,787","76,297","63,635","43,111",0,"14,690"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,1,"40,465","46,115","714,112","46,115","9,255",0,54,96,117,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,"2,973,677","941,434","66,522,626","531,180","585,859","501,578","75,974","62,670","43,682",0,"15,178"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,2,"52,002","52,493","869,099","52,493","9,875",0,42,112,183,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,"2,973,677","941,434","66,522,626","531,180","585,859","501,578","75,974","62,670","43,682",0,"15,178"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,3,"23,305","62,365","334,137","62,365","1,629",0,93,115,429,0,4,Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,"2,973,677","941,434","66,522,626","531,180","585,859","501,578","75,974","62,670","43,682",0,"15,178"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,4,"15,904","53,013","221,060","53,013",0,0,445,739,75,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,"2,973,677","941,434","66,522,626","531,180","585,859","501,578","75,974","62,670","43,682",0,"15,178"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,5,"228,642","80,109","4,539,749","80,109","42,710","20,205","4,909","5,642",838,0,532,Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,"2,973,677","941,434","66,522,626","531,180","585,859","501,578","75,974","62,670","43,682",0,"15,178"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,6,"568,144","113,778","13,172,117","113,778","126,955","107,689","11,008","11,350","5,498",0,"2,266",Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,"2,973,677","941,434","66,522,626","531,180","585,859","501,578","75,974","62,670","43,682",0,"15,178"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,7,"794,929","142,857","18,438,064","142,857","147,268","163,999","24,221","15,418","14,217",0,"5,666",Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,"2,973,677","941,434","66,522,626","531,180","585,859","501,578","75,974","62,670","43,682",0,"15,178"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,8,"663,266","143,395","15,983,198","143,395","139,466","140,787","22,096","12,240","14,094",0,"5,651",Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,"2,973,677","941,434","66,522,626","531,180","585,859","501,578","75,974","62,670","43,682",0,"15,178"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,9,"413,960","109,942","9,425,549","109,942","90,419","64,245","10,531","13,338","6,240",0,979,Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,"2,973,677","941,434","66,522,626","531,180","585,859","501,578","75,974","62,670","43,682",0,"15,178"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,10,"142,702","58,843","2,325,599","58,843","13,351","4,653","2,390","3,469","1,606",0,80,Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,"2,973,677","941,434","66,522,626","531,180","585,859","501,578","75,974","62,670","43,682",0,"15,178"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,11,"11,235","31,925","147,803","31,925",0,0,147,58,336,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,"2,973,677","941,434","66,522,626","531,180","585,859","501,578","75,974","62,670","43,682",0,"15,178"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,12,"19,123","46,599","352,139","46,599","4,931",0,38,93,49,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2002,"2,973,677","941,434","66,522,626","531,180","585,859","501,578","75,974","62,670","43,682",0,"15,178"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,1,"36,387","43,829","601,500","43,829","6,427",0,86,138,218,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,"3,019,375","939,836","66,260,453","547,218","559,775","478,854","82,134","69,722","46,087",0,"14,592"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,2,"39,494","40,727","710,168","40,727","9,415",0,29,86,313,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,"3,019,375","939,836","66,260,453","547,218","559,775","478,854","82,134","69,722","46,087",0,"14,592"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,3,"17,718","47,735","255,238","47,735","1,221",0,131,170,254,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,"3,019,375","939,836","66,260,453","547,218","559,775","478,854","82,134","69,722","46,087",0,"14,592"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,4,"28,877","56,487","387,511","56,487",0,0,653,973,82,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,"3,019,375","939,836","66,260,453","547,218","559,775","478,854","82,134","69,722","46,087",0,"14,592"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,5,"206,245","75,952","4,230,581","75,952","41,908","19,259","4,918","5,523",927,0,616,Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,"3,019,375","939,836","66,260,453","547,218","559,775","478,854","82,134","69,722","46,087",0,"14,592"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,6,"580,919","116,298","13,096,936","116,298","120,460","99,560","14,138","13,402","5,194",0,"2,493",Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,"3,019,375","939,836","66,260,453","547,218","559,775","478,854","82,134","69,722","46,087",0,"14,592"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,7,"809,689","156,022","18,388,742","156,022","139,549","162,635","23,773","15,427","15,222",0,"4,747",Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,"3,019,375","939,836","66,260,453","547,218","559,775","478,854","82,134","69,722","46,087",0,"14,592"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,8,"698,753","145,844","16,294,043","145,844","137,277","135,627","23,152","13,571","14,908",0,"5,007",Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,"3,019,375","939,836","66,260,453","547,218","559,775","478,854","82,134","69,722","46,087",0,"14,592"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,9,"404,498","111,568","9,090,875","111,568","86,780","54,154","12,045","15,299","6,598",0,"1,661",Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,"3,019,375","939,836","66,260,453","547,218","559,775","478,854","82,134","69,722","46,087",0,"14,592"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,10,"175,877","74,879","2,822,682","74,879","12,154","7,619","3,094","4,893","1,845",0,68,Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,"3,019,375","939,836","66,260,453","547,218","559,775","478,854","82,134","69,722","46,087",0,"14,592"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,11,"7,967","25,466","107,478","25,466",0,0,67,90,338,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,"3,019,375","939,836","66,260,453","547,218","559,775","478,854","82,134","69,722","46,087",0,"14,592"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,12,"12,951","45,029","274,699","45,029","4,584",0,48,150,188,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2003,"3,019,375","939,836","66,260,453","547,218","559,775","478,854","82,134","69,722","46,087",0,"14,592"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,1,"22,817","41,918","414,016","41,918","5,503",0,93,122,125,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,"2,868,317","937,479","63,397,708","544,568","560,385","458,690","71,271","65,852","38,270",0,"12,948"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,2,"30,030","33,052","565,338","33,052","8,147",0,58,134,202,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,"2,868,317","937,479","63,397,708","544,568","560,385","458,690","71,271","65,852","38,270",0,"12,948"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,3,"20,187","46,401","297,316","46,401","1,645",0,192,157,301,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,"2,868,317","937,479","63,397,708","544,568","560,385","458,690","71,271","65,852","38,270",0,"12,948"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,4,"32,434","62,384","423,808","62,384",0,0,595,746,101,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,"2,868,317","937,479","63,397,708","544,568","560,385","458,690","71,271","65,852","38,270",0,"12,948"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,5,"216,905","80,837","4,077,202","80,837","35,399","16,408","3,530","5,341",389,0,364,Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,"2,868,317","937,479","63,397,708","544,568","560,385","458,690","71,271","65,852","38,270",0,"12,948"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,6,"584,925","118,827","13,056,271","118,827","120,738","97,334","14,147","12,234","4,630",0,"2,466",Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,"2,868,317","937,479","63,397,708","544,568","560,385","458,690","71,271","65,852","38,270",0,"12,948"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,7,"732,682","154,693","17,257,866","154,693","146,082","152,577","20,538","15,402","13,401",0,"4,738",Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,"2,868,317","937,479","63,397,708","544,568","560,385","458,690","71,271","65,852","38,270",0,"12,948"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,8,"657,869","143,539","15,328,588","143,539","133,836","126,747","19,542","13,296","12,332",0,"4,003",Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,"2,868,317","937,479","63,397,708","544,568","560,385","458,690","71,271","65,852","38,270",0,"12,948"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,9,"406,327","116,081","9,175,722","116,081","89,145","58,656","10,490","14,330","5,176",0,"1,362",Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,"2,868,317","937,479","63,397,708","544,568","560,385","458,690","71,271","65,852","38,270",0,"12,948"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,10,"135,605","61,576","2,337,674","61,576","15,800","6,968","1,830","3,782","1,205",0,15,Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,"2,868,317","937,479","63,397,708","544,568","560,385","458,690","71,271","65,852","38,270",0,"12,948"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,11,"13,939","35,582","184,320","35,582",0,0,173,170,368,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,"2,868,317","937,479","63,397,708","544,568","560,385","458,690","71,271","65,852","38,270",0,"12,948"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,12,"14,597","42,589","279,587","42,589","4,090",0,83,138,40,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2004,"2,868,317","937,479","63,397,708","544,568","560,385","458,690","71,271","65,852","38,270",0,"12,948"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,1,"22,297","41,233","403,902","41,233","5,315",0,80,112,174,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,"2,835,651","939,978","62,579,911","545,768","526,462","484,130","69,452","64,136","33,974",0,"11,519"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,2,"29,018","32,973","546,671","32,973","7,815",0,51,144,259,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,"2,835,651","939,978","62,579,911","545,768","526,462","484,130","69,452","64,136","33,974",0,"11,519"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,3,"17,324","44,709","248,194","44,709","1,401",0,157,122,0,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,"2,835,651","939,978","62,579,911","545,768","526,462","484,130","69,452","64,136","33,974",0,"11,519"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,4,"26,116","56,623","348,216","56,623",0,0,458,858,136,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,"2,835,651","939,978","62,579,911","545,768","526,462","484,130","69,452","64,136","33,974",0,"11,519"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,5,"225,811","83,599","4,097,551","83,599","28,504","18,320","4,224","5,299",906,0,573,Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,"2,835,651","939,978","62,579,911","545,768","526,462","484,130","69,452","64,136","33,974",0,"11,519"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,6,"560,014","121,322","12,208,636","121,322","100,977","98,277","12,272","12,426","2,634",0,"2,100",Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,"2,835,651","939,978","62,579,911","545,768","526,462","484,130","69,452","64,136","33,974",0,"11,519"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,7,"743,165","162,474","17,798,794","162,474","147,546","169,289","20,947","15,344","12,792",0,"4,116",Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,"2,835,651","939,978","62,579,911","545,768","526,462","484,130","69,452","64,136","33,974",0,"11,519"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,8,"647,288","144,944","15,464,462","144,944","136,577","135,208","19,094","12,883","13,228",0,"3,718",Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,"2,835,651","939,978","62,579,911","545,768","526,462","484,130","69,452","64,136","33,974",0,"11,519"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,9,"393,362","115,089","8,681,500","115,089","80,714","57,836","10,093","13,437","2,083",0,886,Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,"2,835,651","939,978","62,579,911","545,768","526,462","484,130","69,452","64,136","33,974",0,"11,519"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,10,"142,912","61,163","2,315,016","61,163","13,339","5,200","1,862","3,245","1,231",0,126,Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,"2,835,651","939,978","62,579,911","545,768","526,462","484,130","69,452","64,136","33,974",0,"11,519"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,11,"11,505","30,246","155,437","30,246",0,0,150,157,417,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,"2,835,651","939,978","62,579,911","545,768","526,462","484,130","69,452","64,136","33,974",0,"11,519"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,12,"16,839","45,603","311,532","45,603","4,274",0,64,109,114,0,0,Yellowstone NP,YELL,National Park,Intermountain ,WY,2005,"2,835,651","939,978","62,579,911","545,768","526,462","484,130","69,452","64,136","33,974",0,"11,519"
Yellowstone NP,YELL,National Park,Intermountain ,WY,2006,1,"23,989","46,399","442,207","46,399","6,156",0,64,109,99,0,3,Yellowstone NP,YELL,National Park,Intermountain ,WY,2006,"2,870,295","970,572","61,831,455","539,021","541,897","415,306","70,963","62,487","37,276",0,"13,235"
